wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.7165347290e+02	9.6464031195e-01	8.8374215364e-01	8.8382589817e-01
4.7207318115e+02	9.6427204180e-01	8.8313537836e-01	8.8271284103e-01
4.7249288940e+02	9.6389806079e-01	8.8340812922e-01	8.8254714012e-01
4.7291259766e+02	9.6351825180e-01	8.8188987970e-01	8.8215076923e-01
4.7333230591e+02	9.6313249473e-01	8.8181388378e-01	8.8062125444e-01
4.7375201416e+02	9.6274066639e-01	8.8130795956e-01	8.8026475906e-01
4.7417175293e+02	9.6234261128e-01	8.8183826208e-01	8.8019955158e-01
4.7459146118e+02	9.6193825770e-01	8.8154578209e-01	8.7845778465e-01
4.7501116943e+02	9.6152744398e-01	8.8070213795e-01	8.7867569923e-01
4.7543087769e+02	9.6111003373e-01	8.8010698557e-01	8.7778604031e-01
4.7585058594e+02	9.6068588699e-01	8.8005566597e-01	8.7701296806e-01
4.7627029419e+02	9.6025486010e-01	8.7712693214e-01	8.7650603056e-01
4.7669000244e+02	9.5981680565e-01	8.8136589527e-01	8.7660366297e-01
4.7710971069e+02	9.5937157230e-01	8.7865382433e-01	8.7562662363e-01
4.7752941895e+02	9.5891900468e-01	8.7871038914e-01	8.7466019392e-01
4.7794912720e+02	9.5845894327e-01	8.7678086758e-01	8.7561821938e-01
4.7836883545e+02	9.5799122425e-01	8.7809717655e-01	8.7356990576e-01
4.7878854370e+02	9.5751567938e-01	8.7723278999e-01	8.7273961306e-01
4.7920825195e+02	9.5703213584e-01	8.7655788660e-01	8.7226170301e-01
4.7962796021e+02	9.5654041613e-01	8.7603545189e-01	8.7244284153e-01
4.8004766846e+02	9.5604033783e-01	8.7582939863e-01	8.7038016319e-01
4.8046737671e+02	9.5553171354e-01	8.7525594234e-01	8.7060242891e-01
4.8088708496e+02	9.5501435065e-01	8.7453538179e-01	8.7035953999e-01
4.8130679321e+02	9.5448805119e-01	8.7407809496e-01	8.7062627077e-01
4.8172650146e+02	9.5395261165e-01	8.7336409092e-01	8.7134885788e-01
4.8214620972e+02	9.5340782282e-01	8.7345588207e-01	8.7149894238e-01
4.8256591797e+02	9.5285346957e-01	8.7006074190e-01	8.6953920126e-01
4.8298562622e+02	9.5228933066e-01	8.7206405401e-01	8.6976343393e-01
4.8340533447e+02	9.5171517854e-01	8.6960786581e-01	8.6848294735e-01
4.8382504272e+02	9.5113077915e-01	8.6846053600e-01	8.6770790815e-01
4.8424475098e+02	9.5053589167e-01	8.6929893494e-01	8.6870104074e-01
4.8466445923e+02	9.4993026831e-01	8.6437648535e-01	8.6840820312e-01
4.8508419800e+02	9.4931360883e-01	8.6664086580e-01	8.6677557230e-01
4.8550390625e+02	9.4868574043e-01	8.6583948135e-01	8.6629194021e-01
4.8592361450e+02	9.4804634849e-01	8.6631590128e-01	8.6542564631e-01
4.8634332275e+02	9.4739515487e-01	8.6318075657e-01	8.6479288340e-01
4.8676303101e+02	9.4673187314e-01	8.6400514841e-01	8.6436724663e-01
4.8718273926e+02	9.4605620832e-01	8.6305004358e-01	8.6304914951e-01
4.8760244751e+02	9.4536785658e-01	8.6218869686e-01	8.6242830753e-01
4.8802215576e+02	9.4466650495e-01	8.5955202579e-01	8.6205798388e-01
4.8844186401e+02	9.4395183094e-01	8.5973298550e-01	8.6075097322e-01
4.8886157227e+02	9.4322350225e-01	8.5915392637e-01	8.6063766479e-01
4.8928128052e+02	9.4248117639e-01	8.5761654377e-01	8.5931390524e-01
4.8970098877e+02	9.4172450032e-01	8.5962373018e-01	8.5878443718e-01
4.9012069702e+02	9.4095311010e-01	8.5220217705e-01	8.5675626993e-01
4.9054040527e+02	9.4016663043e-01	8.5579502583e-01	8.5537207127e-01
4.9096011353e+02	9.3936467429e-01	8.5431772470e-01	8.5532450676e-01
4.9137982178e+02	9.3854684250e-01	8.5418641567e-01	8.5467272997e-01
4.9179953003e+02	9.3771272324e-01	8.5311490297e-01	8.5352522135e-01
4.9221923828e+02	9.3686189164e-01	8.5252839327e-01	8.5190498829e-01
4.9263894653e+02	9.3599390921e-01	8.5344862938e-01	8.5109347105e-01
4.9305865479e+02	9.3510832344e-01	8.5468757153e-01	8.5069119930e-01
4.9347836304e+02	9.3420466716e-01	8.4827435017e-01	8.5161101818e-01
4.9389807129e+02	9.3328245810e-01	8.4928655624e-01	8.5087507963e-01
4.9431777954e+02	9.3234119820e-01	8.4807151556e-01	8.4885495901e-01
4.9473748779e+02	9.3138037312e-01	8.4792864323e-01	8.4953618050e-01
4.9515719604e+02	9.3039945153e-01	8.4651702642e-01	8.4913587570e-01
4.9557690430e+02	9.2939788452e-01	8.4695070982e-01	8.4809750319e-01
4.9599664307e+02	9.2837502972e-01	8.4544527531e-01	8.4769350290e-01
4.9641635132e+02	9.2733044965e-01	8.4496855736e-01	8.4710216522e-01
4.9683605957e+02	9.2626346477e-01	8.4387236834e-01	8.4619528055e-01
4.9725576782e+02	9.2517344864e-01	8.4595948458e-01	8.4753942490e-01
4.9767547607e+02	9.2405975354e-01	8.4087455273e-01	8.4698003531e-01
4.9809518433e+02	9.2292170954e-01	8.4141755104e-01	8.4649938345e-01
4.9851489258e+02	9.2175862373e-01	8.4037894011e-01	8.4595978260e-01
4.9893460083e+02	9.2056977924e-01	8.3905631304e-01	8.4522509575e-01
4.9935430908e+02	9.1935443428e-01	8.3760422468e-01	8.4445703030e-01
4.9977401733e+02	9.1811182120e-01	8.3820682764e-01	8.4312170744e-01
5.0019372559e+02	9.1684114537e-01	8.3354431391e-01	8.4100407362e-01
5.0061343384e+02	9.1554158414e-01	8.3483058214e-01	8.4043890238e-01
5.0103314209e+02	9.1421228568e-01	8.3404666185e-01	8.3942806721e-01
5.0145285034e+02	9.1285236780e-01	8.3247768879e-01	8.3663958311e-01
5.0187255859e+02	9.1146091670e-01	8.3122599125e-01	8.3617973328e-01
5.0229226685e+02	9.1003698569e-01	8.2829546928e-01	8.3309638500e-01
5.0271197510e+02	9.0857959380e-01	8.2868021727e-01	8.3248198032e-01
5.0313168335e+02	9.0708772439e-01	8.2976245880e-01	8.3078795671e-01
5.0355139160e+02	9.0556032366e-01	8.2578986883e-01	8.2962739468e-01
5.0397109985e+02	9.0399629907e-01	8.2536619902e-01	8.2818812132e-01
5.0439080811e+02	9.0239451778e-01	8.2407766581e-01	8.2826071978e-01
5.0481051636e+02	9.0075380493e-01	8.2194072008e-01	8.2663017511e-01
5.0523022461e+02	8.9907294184e-01	8.2292944193e-01	8.2578897476e-01
5.0564993286e+02	8.9735066422e-01	8.2066953182e-01	8.2552742958e-01
5.0606964111e+02	8.9558566019e-01	8.2045656443e-01	8.2427704334e-01
5.0648937988e+02	8.9377643512e-01	8.1926959753e-01	8.2344299555e-01
5.0690908813e+02	8.9192183884e-01	8.1749796867e-01	8.2400399446e-01
5.0732879639e+02	8.9002027438e-01	8.1590902805e-01	8.2349574566e-01
5.0774850464e+02	8.8807021845e-01	8.1557869911e-01	8.2088583708e-01
5.0816821289e+02	8.8607008920e-01	8.1598347425e-01	8.1965619326e-01
5.0858792114e+02	8.8401824364e-01	8.0825752020e-01	8.1908780336e-01
5.0900762939e+02	8.8191297503e-01	8.1150746346e-01	8.1853520870e-01
5.0942733765e+02	8.7975251017e-01	8.0932837725e-01	8.1560736895e-01
5.0984704590e+02	8.7753500652e-01	8.0486953259e-01	8.1260561943e-01
5.1026675415e+02	8.7525854923e-01	8.0501151085e-01	8.1371331215e-01
5.1068646240e+02	8.7292114801e-01	8.0313241482e-01	8.1179004908e-01
5.1110617065e+02	8.7052073393e-01	7.9914468527e-01	8.0975526571e-01
5.1152587891e+02	8.6805515599e-01	7.9963260889e-01	8.0667799711e-01
5.1194558716e+02	8.6552217766e-01	7.9687434435e-01	8.0473071337e-01
5.1236529541e+02	8.6291947315e-01	7.9244530201e-01	8.0289751291e-01
5.1278503418e+02	8.6024442650e-01	7.9338085651e-01	8.0044472218e-01
5.1320471191e+02	8.5749511342e-01	7.8952509165e-01	7.9946172237e-01
5.1362445068e+02	8.5466811706e-01	7.8695261478e-01	7.9644811153e-01
5.1404412842e+02	8.5176153754e-01	7.8491818905e-01	7.9361009598e-01
5.1446386719e+02	8.4877169703e-01	7.8162139654e-01	7.9213005304e-01
5.1488354492e+02	8.4569651883e-01	7.8466331959e-01	7.8917467594e-01
5.1530328369e+02	8.4253204250e-01	7.7649432421e-01	7.8645253181e-01
5.1572296143e+02	8.3927599891e-01	7.7400332689e-01	7.8487443924e-01
5.1614270020e+02	8.3592412184e-01	7.6966273785e-01	7.7900123596e-01
5.1656237793e+02	8.3247393326e-01	7.6661545038e-01	7.7847075462e-01
5.1698211670e+02	8.2892083644e-01	7.6257908344e-01	7.7396291494e-01
5.1740179443e+02	8.2526212706e-01	7.5681167841e-01	7.7199876308e-01
5.1782153320e+02	8.2149285177e-01	7.5648933649e-01	7.7012300491e-01
5.1824121094e+02	8.1761006187e-01	7.5203239918e-01	7.6701688766e-01
5.1866094971e+02	8.1360841998e-01	7.4650937319e-01	7.6184576750e-01
5.1908062744e+02	8.0948471448e-01	7.4244433641e-01	7.5550073385e-01
5.1950036621e+02	8.0523319555e-01	7.3415172100e-01	7.4968737364e-01
5.1992004395e+02	8.0085037003e-01	7.3149633408e-01	7.4478733540e-01
5.2033978271e+02	7.9633004656e-01	7.2443908453e-01	7.4178934097e-01
5.2075946045e+02	7.9166843232e-01	7.1309858561e-01	7.3552149534e-01
5.2117919922e+02	7.8685886531e-01	7.1443587542e-01	7.2829079628e-01
5.2159887695e+02	7.8189723608e-01	7.0965290070e-01	7.2180879116e-01
5.2201861572e+02	7.7677638364e-01	7.1001839638e-01	7.1657317877e-01
5.2243829346e+02	7.7149186718e-01	6.9646060467e-01	7.0866525173e-01
5.2285803223e+02	7.6603600032e-01	6.8881177902e-01	7.0274865627e-01
5.2327777100e+02	7.6040316747e-01	6.8181407452e-01	6.9265323877e-01
