wavelength_nm	final_network_transmittance	cst_average_transmittance
5.6524868648e+02	1.7242816091e-01	2.7208995721e-01
5.6566839592e+02	1.8575030565e-01	2.8760246079e-01
5.6608810536e+02	1.9936038554e-01	3.0278636557e-01
5.6650781480e+02	2.1380290389e-01	3.1756595682e-01
5.6692752424e+02	2.2865977883e-01	3.3188341773e-01
5.6734723368e+02	2.4271050096e-01	3.4571690196e-01
5.6776694312e+02	2.5862208009e-01	3.5904275178e-01
5.6818665257e+02	2.7296209335e-01	3.7184727508e-01
5.6860636201e+02	2.8721573949e-01	3.8412523078e-01
5.6902607145e+02	3.0108612776e-01	3.9587836352e-01
5.6944578089e+02	3.1548061967e-01	4.0711404216e-01
5.6986549033e+02	3.2875353098e-01	4.1784403434e-01
5.7028519977e+02	3.4323048592e-01	4.2808343190e-01
5.7070490921e+02	3.5497698188e-01	4.3784972994e-01
5.7112461865e+02	3.6943909526e-01	4.4716205335e-01
5.7154432810e+02	3.8077414036e-01	4.5604051982e-01
5.7196403754e+02	3.9323386550e-01	4.6450572539e-01
5.7238374698e+02	4.0571397543e-01	4.7257833732e-01
5.7280345642e+02	4.1778001189e-01	4.8027877949e-01
