wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.0449996948e+02	1.1684326082e-01	2.4473318458e-01	2.0956218243e-01
4.0491967773e+02	1.0144646466e-01	2.2633829713e-01	1.9887588918e-01
4.0533938599e+02	8.6783416569e-02	2.1252718568e-01	1.8666836619e-01
4.0575909424e+02	7.2954565287e-02	2.0121127367e-01	1.7910397053e-01
4.0617880249e+02	6.0059566051e-02	1.9048780203e-01	1.7439480126e-01
4.0659851074e+02	4.8195704818e-02	1.8357527256e-01	1.7386016250e-01
4.0701821899e+02	3.7456288934e-02	1.7962250113e-01	1.7593745887e-01
4.0743792725e+02	2.7928948402e-02	1.7556685209e-01	1.7865303159e-01
4.0785763550e+02	1.9693970680e-02	1.7236910760e-01	1.8417647481e-01
4.0827734375e+02	1.2822675519e-02	1.7493814230e-01	1.9316342473e-01
4.0869705200e+02	7.3759253137e-03	1.7913605273e-01	2.0468626916e-01
4.0911676025e+02	3.4027921502e-03	1.8502885103e-01	2.1749401093e-01
4.0953649902e+02	9.3933875905e-04	1.9320839643e-01	2.3233485222e-01
4.0995620728e+02	8.3924587670e-06	2.0316658914e-01	2.5044760108e-01
4.1037591553e+02	6.1794510111e-04	2.1387319267e-01	2.6757958531e-01
4.1079562378e+02	2.7617858723e-03	2.2610105574e-01	2.8582632542e-01
4.1121533203e+02	6.4194076695e-03	2.3673985898e-01	3.0453354120e-01
4.1163504028e+02	1.1556478217e-02	2.4549078941e-01	3.2401239872e-01
4.1205474854e+02	1.8125623465e-02	2.5523921847e-01	3.4058037400e-01
4.1247445679e+02	2.6067482308e-02	2.6587641239e-01	3.5557743907e-01
4.1289416504e+02	3.5312011838e-02	2.7461892366e-01	3.7317588925e-01
4.1331387329e+02	4.5779943466e-02	2.8190386295e-01	3.8655853271e-01
4.1373358154e+02	5.7384409010e-02	2.8925317526e-01	4.0123802423e-01
4.1415328979e+02	7.0032596588e-02	2.9518049955e-01	4.1535395384e-01
4.1457299805e+02	8.3627440035e-02	3.0054366589e-01	4.2981097102e-01
4.1499270630e+02	9.8069280386e-02	3.0527871847e-01	4.4240021706e-01
4.1541241455e+02	1.1325740814e-01	3.0985286832e-01	4.5202803612e-01
4.1583212280e+02	1.2909153104e-01	3.0554181337e-01	4.6533423662e-01
4.1625183105e+02	1.4547310770e-01	3.1039243937e-01	4.7614455223e-01
4.1667153931e+02	1.6230641305e-01	3.1963059306e-01	4.8892766237e-01
4.1709124756e+02	1.7949955165e-01	3.2587945461e-01	5.0095152855e-01
4.1751095581e+02	1.9696523249e-01	3.3437433839e-01	5.1135146618e-01
4.1793066406e+02	2.1462136507e-01	3.4012424946e-01	5.2248966694e-01
4.1835037231e+02	2.3239152133e-01	3.5091575980e-01	5.3539860249e-01
4.1877008057e+02	2.5020518899e-01	3.5902470350e-01	5.4645311832e-01
4.1918978882e+02	2.6799792051e-01	3.7115994096e-01	5.6605738401e-01
4.1960949707e+02	2.8571143746e-01	3.8687944412e-01	5.8050650358e-01
4.2002920532e+02	3.0329337716e-01	4.0171492100e-01	5.9143859148e-01
4.2044894409e+02	3.2069864869e-01	4.1839903593e-01	6.0370582342e-01
4.2086865234e+02	3.3788388968e-01	4.3860104680e-01	6.2265235186e-01
4.2128836060e+02	3.5481494665e-01	4.5994743705e-01	6.3515955210e-01
4.2170806885e+02	3.7146148086e-01	4.8296988010e-01	6.5111005306e-01
4.2212777710e+02	3.8779777288e-01	5.0650447607e-01	6.6339260340e-01
4.2254748535e+02	4.0380251408e-01	5.3018951416e-01	6.7419719696e-01
4.2296719360e+02	4.1945829988e-01	5.4897159338e-01	6.8590056896e-01
4.2338690186e+02	4.3475145102e-01	5.7014381886e-01	6.9356560707e-01
4.2380661011e+02	4.4967147708e-01	5.9053242207e-01	7.0492917299e-01
4.2422631836e+02	4.6421083808e-01	6.0778099298e-01	7.1587395668e-01
4.2464602661e+02	4.7836464643e-01	6.2433391809e-01	7.2504538298e-01
4.2506573486e+02	4.9213030934e-01	6.3950890303e-01	7.3013848066e-01
4.2548544312e+02	5.0550717115e-01	6.5436309576e-01	7.3929959536e-01
4.2590515137e+02	5.1849657297e-01	6.6753768921e-01	7.4569934607e-01
4.2632485962e+02	5.3110110760e-01	6.7927765846e-01	7.5059968233e-01
4.2674456787e+02	5.4332482815e-01	6.9035029411e-01	7.5673317909e-01
4.2716427612e+02	5.5517292023e-01	6.9977557659e-01	7.6167488098e-01
4.2758398438e+02	5.6665146351e-01	7.1005558968e-01	7.6678478718e-01
4.2800369263e+02	5.7776731253e-01	7.1812105179e-01	7.7121675014e-01
4.2842340088e+02	5.8852785826e-01	7.2654008865e-01	7.7599322796e-01
4.2884310913e+02	5.9894126654e-01	7.3407036066e-01	7.8015607595e-01
4.2926281738e+02	6.0901576281e-01	7.4054247141e-01	7.8400945663e-01
4.2968252563e+02	6.1876004934e-01	7.4781388044e-01	7.8478223085e-01
4.3010223389e+02	6.2818300724e-01	7.5344282389e-01	7.9139631987e-01
4.3052194214e+02	6.3729375601e-01	7.5822454691e-01	7.9410231113e-01
4.3094165039e+02	6.4610117674e-01	7.6401412487e-01	7.9528921843e-01
4.3136138916e+02	6.5461510420e-01	7.6918309927e-01	7.9781889915e-01
4.3178109741e+02	6.6284334660e-01	7.7311700583e-01	8.0008208752e-01
4.3220080566e+02	6.7079550028e-01	7.7587091923e-01	8.0182576180e-01
4.3262051392e+02	6.7848032713e-01	7.8063988686e-01	8.0137932301e-01
4.3304022217e+02	6.8590670824e-01	7.8277719021e-01	8.0442011356e-01
4.3345993042e+02	6.9308316708e-01	7.8565841913e-01	8.0400276184e-01
4.3387963867e+02	7.0001804829e-01	7.8886997700e-01	8.0452054739e-01
4.3429934692e+02	7.0671951771e-01	7.9121255875e-01	8.0393314362e-01
4.3471905518e+02	7.1319562197e-01	7.9195129871e-01	8.0335491896e-01
4.3513876343e+02	7.1945416927e-01	7.9451346397e-01	8.0178844929e-01
4.3555847168e+02	7.2550261021e-01	7.9658854008e-01	8.0266511440e-01
4.3597817993e+02	7.3134833574e-01	7.9798966646e-01	8.0179607868e-01
4.3639788818e+02	7.3699837923e-01	8.0021429062e-01	8.0379354954e-01
4.3681759644e+02	7.4245965481e-01	8.0181235075e-01	8.0280393362e-01
4.3723730469e+02	7.4773877859e-01	8.0358445644e-01	8.0177938938e-01
4.3765701294e+02	7.5284212828e-01	8.0529683828e-01	8.0317050219e-01
4.3807672119e+02	7.5777596235e-01	8.0707985163e-01	8.0059158802e-01
4.3849642944e+02	7.6254624128e-01	8.0877733231e-01	8.0199319124e-01
4.3891613770e+02	7.6715868711e-01	8.0940437317e-01	7.9822039604e-01
4.3933584595e+02	7.7161878347e-01	8.1037741899e-01	7.9763698578e-01
4.3975555420e+02	7.7593195438e-01	8.1080019474e-01	7.9774987698e-01
4.4017526245e+02	7.8010332584e-01	8.1148308516e-01	7.9544675350e-01
4.4059497070e+02	7.8413778543e-01	8.1154781580e-01	7.9528975487e-01
4.4101467896e+02	7.8804010153e-01	8.1248122454e-01	7.9417926073e-01
4.4143438721e+02	7.9181486368e-01	8.1256538630e-01	7.9432010651e-01
4.4185412598e+02	7.9546666145e-01	8.1266069412e-01	7.9097127914e-01
