wavelength_nm	final_result_transmittance	cst_average_transmittance
5.6692755127e+02	9.6696376801e-01	9.6669993627e-01
5.6734722900e+02	9.6709835529e-01	9.6670284234e-01
5.6776696777e+02	9.6708440781e-01	9.6670536043e-01
5.6818664551e+02	9.6711581945e-01	9.6670748493e-01
5.6860638428e+02	9.6709007025e-01	9.6670921145e-01
5.6902606201e+02	9.6731448174e-01	9.6671053448e-01
5.6944580078e+02	9.6682459116e-01	9.6671144934e-01
5.6986547852e+02	9.6705621481e-01	9.6671195069e-01
5.7028521729e+02	9.6693581343e-01	9.6671203352e-01
5.7070489502e+02	9.6701580286e-01	9.6671169268e-01
5.7112463379e+02	9.6679627895e-01	9.6671092290e-01
5.7154431152e+02	9.6689164639e-01	9.6670971921e-01
5.7196405029e+02	9.6693956852e-01	9.6670807607e-01
5.7238372803e+02	9.6672451496e-01	9.6670598876e-01
5.7280346680e+02	9.6665000916e-01	9.6670345148e-01
