wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
4.4227382021e+02	8.5184127092e-01	8.1508660316e-01
4.4269352965e+02	8.5442894697e-01	8.1366688013e-01
4.4311323909e+02	8.5694479942e-01	8.1234794855e-01
4.4353294853e+02	8.5939127207e-01	8.1099087000e-01
4.4395265797e+02	8.6177057028e-01	8.1005960703e-01
4.4437236741e+02	8.6408501863e-01	8.1002569199e-01
4.4479207685e+02	8.6633664370e-01	8.0758148432e-01
4.4521178629e+02	8.6852753162e-01	8.0658483505e-01
4.4563149574e+02	8.7065964937e-01	8.0445551872e-01
4.4605120518e+02	8.7273484468e-01	8.0454337597e-01
4.4647091462e+02	8.7475496531e-01	8.0274075270e-01
4.4689062406e+02	8.7672173977e-01	8.0232989788e-01
4.4731033350e+02	8.7863683701e-01	8.0068975687e-01
4.4773004294e+02	8.8050192595e-01	7.9972851276e-01
4.4814975238e+02	8.8231849670e-01	7.9945683479e-01
4.4856946182e+02	8.8408809900e-01	7.9978179932e-01
4.4898917126e+02	8.8581210375e-01	7.9751622677e-01
4.4940888071e+02	8.8749200106e-01	7.9733949900e-01
4.4982859015e+02	8.8912904263e-01	7.9606682062e-01
4.5024829959e+02	8.9072459936e-01	7.9615753889e-01
4.5066800903e+02	8.9227986336e-01	7.9402107000e-01
4.5108771847e+02	8.9379602671e-01	7.9210317135e-01
4.5150742791e+02	8.9527422190e-01	7.9176211357e-01
4.5192713735e+02	8.9671564102e-01	7.9081761837e-01
4.5234684679e+02	8.9812129736e-01	7.8868490458e-01
4.5276655624e+02	8.9949220419e-01	7.8883075714e-01
4.5318626568e+02	9.0082943439e-01	7.8641587496e-01
4.5360597512e+02	9.0213388205e-01	7.8562527895e-01
4.5402568456e+02	9.0340650082e-01	7.8348433971e-01
4.5444539400e+02	9.0464818478e-01	7.8278130293e-01
4.5486510344e+02	9.0585982800e-01	7.8060942888e-01
4.5528481288e+02	9.0704220533e-01	7.7706658840e-01
4.5570452232e+02	9.0819615126e-01	7.7533173561e-01
4.5612423177e+02	9.0932244062e-01	7.7315330505e-01
4.5654394121e+02	9.1042184830e-01	7.7199667692e-01
4.5696365065e+02	9.1149508953e-01	7.6997059584e-01
4.5738336009e+02	9.1254276037e-01	7.6930457354e-01
4.5780306953e+02	9.1356569529e-01	7.6731115580e-01
4.5822277897e+02	9.1456449032e-01	7.6509851217e-01
4.5864248841e+02	9.1553974152e-01	7.6372814178e-01
4.5906219785e+02	9.1649204493e-01	7.6222515106e-01
4.5948190729e+02	9.1742205620e-01	7.6090878248e-01
4.5990161674e+02	9.1833031178e-01	7.6027595997e-01
4.6032132618e+02	9.1921740770e-01	7.5773400068e-01
4.6074103562e+02	9.2008376122e-01	7.5870305300e-01
4.6116074506e+02	9.2093002796e-01	7.5655275583e-01
4.6158045450e+02	9.2175656557e-01	7.5479817390e-01
4.6200016394e+02	9.2256397009e-01	7.5358688831e-01
4.6241987338e+02	9.2335265875e-01	7.5221294165e-01
4.6283958282e+02	9.2412310839e-01	7.5010645390e-01
4.6325929227e+02	9.2487573624e-01	7.5030297041e-01
