wavelength_nm	final_result_transmittance	cst_average_transmittance
5.4846030883e+02	7.6251978056e-01	7.7035359542e-01
5.4888001827e+02	7.6311397325e-01	7.7022929986e-01
5.4929972771e+02	7.6304292949e-01	7.7009987831e-01
5.4971943715e+02	7.6298660849e-01	7.6996511221e-01
5.5013914659e+02	7.6320212382e-01	7.6982482274e-01
5.5055885604e+02	7.6299415346e-01	7.6967873176e-01
5.5097856548e+02	7.6260710794e-01	7.6952662071e-01
5.5139827492e+02	7.6300190357e-01	7.6936817169e-01
5.5181798436e+02	7.6269072947e-01	7.6920314630e-01
5.5223769380e+02	7.6305457668e-01	7.6903124650e-01
5.5265740324e+02	7.6354926067e-01	7.6885213455e-01
5.5307711268e+02	7.6191077500e-01	7.6866547267e-01
5.5349682212e+02	7.6254885774e-01	7.6847094297e-01
5.5391653156e+02	7.6239957478e-01	7.6826810837e-01
5.5433624101e+02	7.6180643080e-01	7.6805659135e-01
5.5475595045e+02	7.6124599178e-01	7.6783595483e-01
5.5517565989e+02	7.6160681266e-01	7.6760574182e-01
5.5559536933e+02	7.6171242471e-01	7.6736549536e-01
5.5601507877e+02	7.6188439269e-01	7.6711467902e-01
5.5643478821e+02	7.6207177660e-01	7.6685279608e-01
5.5685449765e+02	7.6144611335e-01	7.6657921076e-01
5.5727420709e+02	7.6106163065e-01	7.6629336675e-01
5.5769391654e+02	7.6064443066e-01	7.6599458853e-01
5.5811362598e+02	7.6036532162e-01	7.6568226020e-01
5.5853333542e+02	7.6042258100e-01	7.6535562674e-01
5.5895304486e+02	7.6015998128e-01	7.6501395305e-01
5.5937275430e+02	7.6154483818e-01	7.6465638479e-01
5.5979246374e+02	7.6202867487e-01	7.6428216696e-01
5.6021217318e+02	7.6078739825e-01	7.6389034589e-01
5.6063188262e+02	7.6163980431e-01	7.6347998778e-01
5.6105159207e+02	7.5991332999e-01	7.6305015882e-01
5.6147130151e+02	7.6002639209e-01	7.6259972652e-01
5.6189101095e+02	7.5999811147e-01	7.6212763786e-01
5.6231072039e+02	7.5806622152e-01	7.6163276037e-01
5.6273042983e+02	7.5848947707e-01	7.6111376286e-01
5.6315013927e+02	7.5938360347e-01	7.6056941350e-01
5.6356984871e+02	7.5872912096e-01	7.5999838114e-01
5.6398955815e+02	7.5806296640e-01	7.5939911604e-01
5.6440926759e+02	7.5815668132e-01	7.5877022743e-01
5.6482897704e+02	7.5760233726e-01	7.5811000665e-01
5.6524868648e+02	7.5655445997e-01	7.5741682450e-01
5.6566839592e+02	7.5620436675e-01	7.5668885310e-01
5.6608810536e+02	7.5726984426e-01	7.5592428446e-01
5.6650781480e+02	7.5559424755e-01	7.5512003899e-01
5.6692752424e+02	7.5450236676e-01	7.5427343448e-01
5.6734723368e+02	7.5560311314e-01	7.5338357687e-01
5.6776694312e+02	7.5367676603e-01	7.5244808197e-01
5.6818665257e+02	7.5523559436e-01	7.5146450599e-01
5.6860636201e+02	7.5416320293e-01	7.5043024619e-01
5.6902607145e+02	7.5396247850e-01	7.4934260050e-01
5.6944578089e+02	7.5226022920e-01	7.4819862843e-01
5.6986549033e+02	7.5171171353e-01	7.4699536959e-01
5.7028519977e+02	7.5126172990e-01	7.4572962523e-01
5.7070490921e+02	7.4981835914e-01	7.4439807733e-01
5.7112461865e+02	7.4906405546e-01	7.4299724897e-01
5.7154432810e+02	7.4814115762e-01	7.4152342478e-01
5.7196403754e+02	7.4783898318e-01	7.3997280995e-01
