wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
5.5937275430e+02	9.4052350521e-01	9.2816651681e-01
5.5979246374e+02	9.4126158953e-01	9.2932584023e-01
5.6021217318e+02	9.4201016426e-01	9.3046019923e-01
5.6063188262e+02	9.4274973869e-01	9.3156949114e-01
5.6105159207e+02	9.4347554445e-01	9.3265364643e-01
5.6147130151e+02	9.4420713186e-01	9.3371262762e-01
5.6189101095e+02	9.4490951300e-01	9.3474642837e-01
5.6231072039e+02	9.4561707973e-01	9.3575507233e-01
5.6273042983e+02	9.4631218910e-01	9.3673861204e-01
5.6315013927e+02	9.4700026512e-01	9.3769712778e-01
5.6356984871e+02	9.4767671824e-01	9.3863072643e-01
5.6398955815e+02	9.4832766056e-01	9.3953954034e-01
5.6440926759e+02	9.4897729158e-01	9.4042372610e-01
5.6482897704e+02	9.4960284233e-01	9.4128346348e-01
5.6524868648e+02	9.5020961761e-01	9.4211895409e-01
5.6566839592e+02	9.5079010725e-01	9.4293042041e-01
5.6608810536e+02	9.5135641098e-01	9.4371810454e-01
5.6650781480e+02	9.5192879438e-01	9.4448166029e-01
5.6692752424e+02	9.5258939266e-01	9.4522117295e-01
5.6734723368e+02	9.5312279463e-01	9.4593773286e-01
5.6776694312e+02	9.5366507769e-01	9.4663165426e-01
5.6818665257e+02	9.5392632484e-01	9.4730326541e-01
5.6860636201e+02	9.5444154739e-01	9.4795290751e-01
5.6902607145e+02	9.5471811295e-01	9.4858093372e-01
5.6944578089e+02	9.5510089397e-01	9.4918770815e-01
5.6986549033e+02	9.5537889004e-01	9.4977360483e-01
5.7028519977e+02	9.5583373308e-01	9.5033900677e-01
5.7070490921e+02	9.5621275902e-01	9.5088430507e-01
5.7112461865e+02	9.5663052797e-01	9.5140989799e-01
5.7154432810e+02	9.5702713728e-01	9.5191619008e-01
5.7196403754e+02	9.5739227533e-01	9.5240359135e-01
5.7238374698e+02	9.5777201653e-01	9.5287251645e-01
